1,'Lab2',266,'x0'
2,'Physics',499,'x1'
3,'Lab1',363,'x2'
4,'The Polar Museum',83,'x3'
5,'Development Studies',813,'x4'
6,'Scientific Research',7,'x5'
7,'Lab3',477,'x6'
8,'Plant Sciences',171,'x7'
9,'Astronomy',717,'x8'
10,'Lab1',403,'x9'
11,'Neo-Latin',121,'x10'
12,'Acadamic Research',492,'x11'
13,'Slavonic Studies',744,'x12'
14,'Chemistry',113,'x13'
15,'Astronomy',248,'x14'
16,'Acadamic Research',986,'x15'
17,'Asian Studies',879,'x16'
18,'Computer Laboratory',9,'x17'
19,'Arabic',242,'x18'
20,'Lab1',703,'x19'
21,'Chemistry',326,'x20'
22,'Psychology',909,'x21'
23,'American Studies',589,'x22'
24,'Neo-Latin',672,'x23'
25,'Civil engineering',623,'x24'
26,'Lab3',91,'x25'
27,'Slavonic Studies',27,'x26'
28,'turbomachinery',357,'x27'
29,'Clinical pharmacology',958,'x28'
30,'Lab2',791,'x29'
31,'Archaeology',366,'x30'
32,'Orthopaedic Surgery',699,'x31'
33,'Energy',447,'x32'
34,'Lab3',547,'x33'
35,'Acadamic Research',275,'x34'
36,'Plant Sciences',385,'x35'
37,'Acadamic Research',612,'x36'
38,'German',212,'x37'
39,'Earth Sciences',705,'x38'
40,'Plant Sciences',857,'x39'
41,'Business Research',142,'x40'
42,'Trauma and Orthopaedic Surgery',347,'x41'
43,'Earth Sciences',664,'x42'
44,'Psychology',913,'x43'
45,'Orthopaedic Surgery',37,'x44'
46,'The Polar Museum',503,'x45'
47,'Chemistry',96,'x46'
48,'Lab3',928,'x47'
49,'Biochemistry',350,'x48'
50,'Biological Anthropology',111,'x49'
51,'Information engineering',637,'x50'
52,'turbomachinery',900,'x51'
53,'Clinical pharmacology',974,'x52'
54,'Energy',663,'x53'
55,'Psychology',447,'x54'
56,'Energy',760,'x55'
57,'Biological Anthropology',118,'x56'
58,'Modern Greek',329,'x57'
59,'Scientific Research',573,'x58'
60,'Lab2',25,'x59'
61,'Neo-Latin',498,'x60'
62,'Archaeology',314,'x61'
63,'Astronomy',259,'x62'
64,'American Studies',599,'x63'
65,'Energy',816,'x64'
66,'Lab1',68,'x65'
67,'Neo-Latin',242,'x66'
68,'Modern Greek',506,'x67'
69,'Business Research',392,'x68'
70,'Social Anthropology',774,'x69'
71,'Astronomy',327,'x70'
72,'Civil engineering',558,'x71'
73,'Arabic',679,'x72'
74,'Physics',285,'x73'
75,'American Studies',810,'x74'
76,'Modern Greek',765,'x75'
77,'Fluids',194,'x76'
78,'Acadamic Research',843,'x77'
79,'Computer Laboratory',127,'x78'
80,'Acadamic Research',762,'x79'
81,'Fluids',821,'x80'
82,'Lab4',580,'x81'
83,'Physics',63,'x82'
84,'Archaeology',650,'x83'
85,'Biochemistry',490,'x84'
86,'Biological Anthropology',602,'x85'
87,'Acadamic Research',955,'x86'
88,'The Polar Museum',304,'x87'
89,'French',725,'x88'
90,'Lab2',114,'x89'
91,'Metallurgy',222,'x90'
92,'Lab2',837,'x91'
93,'French',384,'x92'
94,'Modern Greek',470,'x93'
95,'Lab3',943,'x94'
96,'Metallurgy',966,'x95'
97,'Arabic',986,'x96'
98,'Orthopaedic Surgery',655,'x97'
99,'Lab3',955,'x98'
100,'Acadamic Research',527,'x99'
101,'Earth Sciences',693,'x100'
102,'Scientific Research',490,'x101'
103,'Neo-Latin',261,'x102'
104,'Plant Sciences',364,'x103'
105,'Earth Sciences',77,'x104'
106,'Social Anthropology',884,'x105'
107,'Scientific Research',329,'x106'
108,'Pathology',701,'x107'
109,'Lab1',156,'x108'
110,'Clinical pharmacology',264,'x109'
111,'Asian Studies',316,'x110'
112,'Lab4',811,'x111'
113,'Lab4',17,'x112'
114,'Chemistry',321,'x113'
115,'Computer Laboratory',400,'x114'
116,'Lab3',43,'x115'
117,'Civil engineering',983,'x116'
118,'Physics',423,'x117'
119,'Archaeology',182,'x118'
120,'Development Studies',179,'x119'
121,'Brain mapping unit',685,'x120'
122,'French',888,'x121'
123,'German',721,'x122'
124,'Chemistry',5,'x123'
125,'Transfusion medicine',426,'x124'
126,'Social Anthropology',20,'x125'
127,'Brain mapping unit',937,'x126'
128,'Acadamic Research',357,'x127'
129,'Clinical pharmacology',528,'x128'
130,'French',279,'x129'
131,'Metallurgy',687,'x130'
132,'turbomachinery',816,'x131'
133,'Earth Sciences',322,'x132'
134,'Asian Studies',228,'x133'
135,'The Polar Museum',561,'x134'
136,'Lab4',113,'x135'
137,'Development Studies',627,'x136'
138,'Astronomy',629,'x137'
139,'French',228,'x138'
140,'Lab3',249,'x139'
141,'Clinical pharmacology',342,'x140'
142,'Physics',627,'x141'
143,'Computer Laboratory',455,'x142'
144,'Plant Sciences',820,'x143'
145,'Arabic',510,'x144'
146,'Trauma and Orthopaedic Surgery',937,'x145'
147,'Asian Studies',247,'x146'
148,'Development Studies',255,'x147'
149,'Physics',113,'x148'
150,'Fluids',789,'x149'
151,'Fluids',275,'x150'
152,'Chemistry',306,'x151'
153,'Lab4',506,'x152'
154,'Energy',164,'x153'
155,'Clinical pharmacology',891,'x154'
